time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-02-16 00:00:00+00:00,1,1,3,3
2022-02-17 00:00:00+00:00,0,0,15,3
2022-02-18 00:00:00+00:00,0,0,16,3
2022-02-19 00:00:00+00:00,1,1,9,5
2022-02-20 00:00:00+00:00,0,0,2,2
2022-02-21 00:00:00+00:00,0,0,1,1
2022-02-22 00:00:00+00:00,0,0,2,2
2022-02-23 00:00:00+00:00,0,0,3,3
2022-02-24 00:00:00+00:00,1,1,9,5
2022-02-25 00:00:00+00:00,0,0,6,3
2022-02-26 00:00:00+00:00,0,0,1,1
2022-02-27 00:00:00+00:00,0,0,2,1
2022-02-28 00:00:00+00:00,0,0,41,8
2022-03-01 00:00:00+00:00,0,0,20,8
2022-03-02 00:00:00+00:00,1,1,25,9
2022-03-03 00:00:00+00:00,0,0,16,3
2022-03-04 00:00:00+00:00,2,1,4,4
2022-03-05 00:00:00+00:00,0,0,2,2
2022-03-06 00:00:00+00:00,0,0,3,3
2022-03-07 00:00:00+00:00,2,1,14,5
2022-03-08 00:00:00+00:00,1,1,44,11
2022-03-09 00:00:00+00:00,2,2,48,11
2022-03-10 00:00:00+00:00,0,0,12,4
2022-03-11 00:00:00+00:00,1,1,0,0
2022-03-13 00:00:00+00:00,0,0,1,1
2022-03-14 00:00:00+00:00,2,1,39,2
2022-03-15 00:00:00+00:00,0,0,4,4
2022-03-16 00:00:00+00:00,0,0,2,2
2022-03-17 00:00:00+00:00,0,0,10,5
2022-03-18 00:00:00+00:00,0,0,2,1
2022-03-19 00:00:00+00:00,0,0,2,2
2022-03-21 00:00:00+00:00,0,0,12,4
2022-03-22 00:00:00+00:00,0,0,11,6
